mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
404,22,55719,14135819,18.5395972,73.7299766,-80,1774196280882,6.1,1.0587617,244.99422,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5395534,73.7299501,-80,1774196285465,6.1,0.89603496,223.26782,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5395053,73.7299408,-80,1774196290070,6.1,1.0491126,220.45651,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5394791,73.7299071,-93,1774196294662,6.9,1.0135857,218.24712,LTE,3,,55719,90,,,
404,22,55719,14135820,18.5394318,73.7299088,-44,1774196299403,6.8,1.062925,155.32863,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5394087,73.7299356,-78,1774196304466,6.0,0.99126446,104.07624,LTE,2,,55719,94,,,
404,22,55719,14135820,18.53937,73.7299692,-78,1774196309501,5.2,1.0066603,118.702774,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5393975,73.7300074,-82,1774196314337,5.0,0.8269672,62.59239,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5394439,73.7300448,-82,1774196319206,5.3,1.0216368,62.300766,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5394966,73.7300677,-81,1774196324241,6.7,0.95064306,20.141788,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5395387,73.7300923,-81,1774196328871,6.3,0.9456178,37.639412,LTE,3,,55719,94,,,
404,22,55719,14135820,18.539588,73.7301131,-79,1774196333568,5.6,1.1118056,20.791958,LTE,2,,55719,94,,,
404,22,55719,14135820,18.539627,73.7301292,-79,1774196338481,5.6,1.1256225,357.7204,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5396651,73.7301591,-80,1774196343472,5.8,1.1281139,17.666891,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5396886,73.7302094,-80,1774196348442,4.9,1.1229705,42.8363,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5397025,73.7302741,-79,1774196353220,5.2,1.140664,54.916584,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5397439,73.730322,-79,1774196358561,5.0,1.1223936,35.639896,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5397872,73.7303589,-82,1774196363064,5.5,1.1876243,35.644325,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5398423,73.7303594,-82,1774196367961,6.4,1.104104,19.475424,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5398911,73.7303257,-81,1774196372604,6.2,1.0659515,303.919,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399323,73.730297,-81,1774196377501,5.6,1.1209072,323.89334,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399778,73.730269,-78,1774196382437,5.7,1.0655615,286.4481,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399827,73.7302262,-78,1774196387481,5.2,1.0972536,263.83347,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399772,73.7301675,-81,1774196392818,5.7,1.0846839,247.41718,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399521,73.7301245,-81,1774196397881,6.0,1.0665067,230.09637,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5399133,73.7300805,-78,1774196402465,5.6,1.4532244,250.61891,LTE,2,,55719,94,,,
404,22,55719,14135819,18.5398689,73.7300622,-44,1774196407031,6.3,1.2791977,242.04599,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5398478,73.7300189,-85,1774196412101,6.7,1.400309,295.54297,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5398805,73.7299993,-85,1774196416979,6.7,1.173064,11.536527,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5399376,73.7299584,-88,1774196421796,9.7,1.3317039,324.09894,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5399198,73.729912,-88,1774196427661,10.9,1.207972,68.20216,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5398525,73.7299183,-91,1774196432560,8.9,1.0694697,177.60538,LTE,3,,55719,90,,,
404,22,55719,14135820,18.5398,73.7299099,-44,1774196438179,7.4,1.0685884,235.62646,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5398102,73.72987,-85,1774196442959,7.1,1.0663235,243.36601,LTE,3,,55719,94,,,
404,22,55719,14135819,18.5398244,73.729778,-93,1774196448383,6.9,1.1482712,213.94168,LTE,1282,,55719,90,,,
404,22,55719,14135819,18.5398409,73.7297249,-91,1774196453075,5.5,1.0702322,273.12476,LTE,2,,55719,90,,,
404,22,55719,14135819,18.5398131,73.7296816,-91,1774196457891,6.6,0.9403424,243.32903,LTE,2,,55719,90,,,
404,22,55719,14135819,18.5397557,73.7296557,-82,1774196462830,6.9,1.074278,89.58749,LTE,2,,55719,90,,,
404,22,55719,14135819,18.5397809,73.7296935,-80,1774196467354,3.4,0.8547788,82.72775,LTE,2,,55719,90,,,
